place,city,country
Kinder-Hämatologie und Onkologie,Sankt Augustin,DE
Station A1,Schwerin,DE
Immunologie),Stuttgart,DE
Pädiatrische Abteilung,Trier,DE
Päd. Onkologie und Hämatologie,Würzburg,DE
National Study Center NO,Bergen,NO
Rikshospitalet,Oslo,NO
University Hospital Northern NO,Tromsø,NO
St Olavs Hospital,Trondheim,NO
Barncancercentrum,Göteborg,SE
Barnonkologiska enheten,Linköping,SE
Barnonkologi,Lund,SE
Barnonkologen,Stockholm,SE
Barn 3 Norrlands,Umeå,SE
Barnavdelningen för blod- och tumörsjukdomar,Uppsala,SE
Kinderklinik,Aarau,CH
Universitäts - Kinderspital beider Basel,Basel,CH
Reparto die Pediatria,Bellinzona,CH
Unité d'Oncologie Hématologie,Geneva,CH
Unité d'hémato-oncologie pédiatrique,Lausanne,CH
Kinderspital Pädiatrische Hämatologie/ Onkologie,Luzern,CH
Hämatologie/ Onkologie,Saint Gallen,CH
Pädiatrische Onkologie,Zürich,CH
University Hospital Muenster,Klinik für Kinder und Jugendmedizin  Pädiatrische Hämatologie und Onkologie,
University Department of Anesthesiology and Pain Therapy,Inselspital Bern,CH
Hopitaux Universitaires de Genève - HUG,Geneva,CH
HUG,,
Department of Medical and Surgical Sciences,Bologna,IT
Hepatic Emergencies Unit,Padova,IT
University Hospital of Santa Maria,Lisbon,PT
Liver Unit,Barcelona,ES
Department of Gastroenterology and Hepatology,Madrid,ES
Institute of Liver and Digestive Disease,London,GB
Liver Failure Group ILDH,Division of Medicine UCL Medical School Royal Free Campus Rowland Hill Street London,
ILDH,Division of Medicine UCL Medical School Royal Free Campus Rowland Hill Street London,
Clinica Mediterranea,,
Îngrijiri La Domiciliu,Brașov,RO
Instituto de Investigacion Biomedica de Malaga-IBIMA,Málaga,ES
Instituto de Investigación Biomédica de Malaga (IBIMA)-Fundacion FIMABIS,,
Universitätsklinikum Essen / Klinik für Infektiologie,Essen,DE
Universitätsklinikum Gießen und Marburg GmbH,Gießen,DE
Martin-Luther-Universität Halle-Wittenberg,Halle/Saale,DE
Universitätsklinikum Jena,Jena,DE
Klinikum der Universität München / Klinische Mikrobiologie und Krankenhaushygiene,München,DE
Universitätsklinikum Regensburg /Stabsstelle Infektiologie,Regensburg,DE
Universitätsklinikum Rostock Abteilung für Tropenmedizin und Infektionskrankheiten Zentrum für Innere Medizin,Rostock,DE
Correvio International Sarl,,
Department of Orthopaedics and Traumatology,Solothurn,CH
University Hospital Graz,Graz,AT
University Hospital Wien,Wien,AT
Charité University Hospital,Berlin,DE
University Hospital Freiburg im Breisgau,Freiburg,DE
University Hospital Hamburg,Hamburg,DE
University Hospital Regensburg,Regensburg,DE
Maladies infectieuses et tropicales,Ajaccio,FR
Hopital Saint-André,Bordeaux,FR
CHU Bordeaux Pellegrin,Bordeaux,FR
Hôpital Raymond-Poincaré,Garches,FR
Service des maladies infectieuses et tropicales,Lyon,FR
Centre Hospitalier de Mont de Marsan,MontdeMarsan,FR
Centre hospitalier régional et universitaire de Nancy,Nancy,FR
CHU de Nantes,Nantes,FR
Centre hospitalier universitaire de Nice,Nice,FR
Centre Hospitalier Universitaire de Nîmes (CHU),Nîmes,FR
Maladies infectieuses,Paris,FR
Infectious Diseases and Intensive Care Unit,Rennes,FR
Centre hospitalier universitaire de Saint-Étienne,SaintÉtienne,FR
Service des Maladies Infectieuses et du Voyageur,Tourcoing,FR
Cairo University,,
Department of Surgery,CHZurich,CH
Cliniques universitaires Saint-Luc,Bruxelles,BE
University College Cork,Cork,IE
Universitair Medisch Centrum Utrecht,Utrecht,NL
University of Bern and University Hospital Bern (Inselspital),Bern,CH
Kasr Al Aini,Cairo,EG
Kaiser Franz Josef Hospital,Vienna,AT
University Hospital Leuven,Leuven,BE
CHU Clermont-Ferrand,ClermontFerrand,FR
University Hospital Caremeau,Nimes,FR
FR.,Pau,FR
Health Innovation Lab (Hi-Lab) Clinique Pasteur,Toulouse,FR
University of Giessen,Giessen,DE
Asklepios Klinik St. Georg,Hamburg,DE
Academic Teaching Hospital of the Universities of Kiel,Kiel,DE
Pamela Youde Nethersole Eastern Hospital,Chai Wan,HK
Queen Elizabeth Hospital,Kowloon,HK
Bolognini Hospital,Seriate,IT
University of Amsterdam,Amsterdam,NL
the NL.,Rotterdam,NL
University Medical Centre Utrecht,Utrecht,NL
National University Heart Centre,,SG
ES.,Barcelona,ES
Allgemeines Krankenhaus der Stadt Wien (AKH Wien),Wien,AT
Universitätsklinikum Hamburg-Eppendorf,Hamburg,DE
Kantonsspital Aarau AG,Aarau,CH
Department of Pulmonology,,
University Hospital Basel - Dept of Biomedicine,,
University Hospital of Basel - Dept of Surgery,,
National Center for Tuberculosis and Lung Diseases,Tbilisi,GE
Forschungszentrum Borstel. Leibniz Lungenzentrum (Borstel),Borstel,DE
INn Council of Medical Research (ICMR) Regional Medical Research Centre,Bhubaneswar,IN
National Institute for Research in Tuberculosis,Chennai,IN
MD,Republic of,
Division of Wits Health Consortium (DMMH),Johannesburg,ZA
Tri-Service General Hospital,,
Ruhr University of Bochum,,
Yuzuncu Yıl University,,
Department of Rehabilitation and Geriatrics,Geneva,CH
Department of Visceral and Transplantation Surgery,Zurich,CH
Institue of Anesthesiology,Zurich,CH
Swiss Paraplegic Centre,Nottwil,CH
University Hospital of Psychiatry,Bern,CH
Department of Neurosurgery & Neurology,,
Cedars Sinai Medical Center,Los Angeles,US
Mount Sinai M.C,New York,US
Hospital of the University of Pennsylvania,Philadelphia,US
Health Science Center,Houston,US
University of Alberta Hospital,Edmonton,CA
Providence Health Care,Vancouver,CA
Aarhus university hospital,Aarhus,DK
Odense University Hospital,Odense,DK
Kerckhoff Klinik GmbH,Bad Nauheim,DE
Charité- Universitätsmedizin Berlin - Campus Mitte,Berlin,DE
Deutsches Herzzentrum Berlin,Berlin,DE
St. Johannes Hospital,Dortmund,DE
Universitätsklinikum Erlangen,Erlangen,DE
Universitätsklinikum Schleswig-Holstein,Kiel,DE
Medicin Herzzentrum Lahr/Baden,Lahr,DE
Herzzentrum Leipzig - Universitätsklinik,Leipzig,DE
Deutsches Herzzentrum München,München,DE
Academic Medical Center,Amsterdam,NL
Amphia Zienkenhuis,Breda,NL
Erasmus M.C,Rotterdam,NL
Skåne University Hospital,SELund,SE
Karolinska University Hospital,SEStockholm,SE
University of Toronto,,CA
Bern,Bern,CH
Diagnostic and Interventional Radiology,Zurich,CH
GZO Regional Health Center,CHWetzikon,CH
GZO Regional Health Center and University of Zurich,,
Zurich Regional Health Center,,
Hôpital des Trois-Chêne (HUG),Geneva,CH
Ospedale Regionale di Bellinzona e Valli - Ospedale San Giovanni Bellinzona,Bellinzona,CH
Ospedale San Giovanni Bellinzona,,
Division of Cognitive Neuroscience,Basel,CH
Division of Cognitive Neuroscience University of Basel,,
Dep. Anesthesiology and Pain Therapy,Bern,CH
Dep. Anesthesiology and pain Therapy,,
CHUV Lausanne,,
Balgrist University Clinic,Zurich,CH
Balgrist University Hospital,,
Department Health,Bern,CH
BUAS,,
ETHZ,,
Praxis Klinik Gut Buchs,Buchs,CH
Phase I Unit,CHArzo,CH
CROSS Research S.A.,Phase I Unit,
ETH Zurich,Zurich,CH
Center for Prevention and Dementia Therapy,Schlieren,CH
Institute for Regenerative Medicine,Center for Prevention and Dementia Therapy,
Department of Otorhinolaryngology,Zurich,CH
University of Lausanne Hospital,Lausanne,CH
Geistlich Pharma AG,,
University hospital Zurich,CHZurich,CH
University of Zürich,CH Zurich,CH
Institute for Biomechanics,Zurich,CH
Dermatology,Zürich,CH
University Hospital Berne,Berne,CH
University Hopsital of Bern,Inselspital,
University Hospital of Lausanne,Lausanne,CH
University of Freiburg,,
Rehabilitation Centre Affoltern am Albis,CHAffoltern am Albis,CH
Department of Visceral and Transplantation Surgery of the University Hospital of Zurich,Zurich,CH
Departement of Visceral and Transplantation Surgery Zurich,,
Schulthess Clinic,Zurich,CH
Schulthess Klinik,,
ORL USZ,,
Diabetes and Clinical Nutrition University Hospital,,
University of Washington,Seattle WA,US
Sanatorium Kilchberg AG,Kilchberg,CH
University of Lausanne CHUV,Lausanne,CH
Chief Medical Officer,,
Division of Otorhinolaryngology ORL,Zurich,CH
Pediatric Anesthesia Unit,Geneva,CH
Geneva University Hospital,Geneva,CH
Cantonal Hospital Baselland,Liestal,CH
Cantonal Hosptal,Baselland,
Rue Gabrielle Perret-Gentil 4,Genève,CH
UniversitätsSpital Zürich Klinik für Psychiatrie und Psychotherapie Ambulatorium,Zurich,CH
Toni Areal,Zürich,CH
ZHAW,,
Zurich University of Applied Sciences,,
Clinical Trial Center of the University Hospital Zurich,Zurich,CH
3010 University of Bern,,CH
Triemli City Hospital,Zurich,CH
Institute of Anesthesiology and Intensive Care Medicine Triemli City Hospital Zurich,,
Triemli Hospital,,
AKH Wien,Vienna,AT
LKH Villach,Villach,AT
UCL Brussels,Brussels,BE
UZ Brussels,Brussels,BE
UZ Leuven/Gasthuisberg KUL,Leuven,BE
CHU Liège - Domaine Universitaire du Sart Tilman,Liege,BE
Clinique La Louviere,Lille,FR
CHU Nimes - Hôpital CAREMEAU,Nimes,FR
Hopital Tenon,Paris,FR
Necker Hospital,Paris,FR
CHU TOURS - Hôpital Bretonneau,Tours,FR
Charite Berlin,Berlin,DE
Universitätsmedizin Göttingen,Gottingen,DE
University Medical Center Schleswig-Holstein,Lubeck,DE
Fundación Puigvert,Barcelona,ES
Hospital Clinic,Barcelona,ES
Hospital Vall d'Hebron,Barcelona,ES
Hospital Universitario de Getafe,Getafe,ES
University Hospital of Geneve,Genève,CH
Edinburgh Royal Infirmary,Edinburgh,GB
Queen Elizabeth University Hospital,Glasgow,GB
Aintree University Hospital,Liverpool,GB
Royal Free Hospital,London,GB
Royal London Hospital,London,GB
Freeman Hospital,Newcastle,GB
Otsuka Europe,,
2217 Kogarah,New South Wales,AU
Hospital Erasme,Bruxelles,BE
Cliniques Universitaires St-Luc,Bruxelles,BE
UZ Antwerpen,Edegem,BE
UZ Gent,Gent,BE
CHU Tivoli,La Louvière,BE
UZ Leuven Gasthuisberg,Leuven,BE
Nationaal MS Centrum,Melsbroek,BE
Revalidatie en MS Centrum,Overpelt,BE
Neurologicka klinika,Brno,CZ
NEU-Neurologicke oddeleni,Jihlava,CZ
VFN Praha Poliklinika Rs Centrum - Budova A,Prague,CZ
Skleroseklinikken,Aarhus N,DK
Neurologisk Klinik.,DKKøbenhavn,DK
Neurologisk Afdeling N,Odense C,DK
Sydjysk Skleroseklinik - Sønderborg,Sønderborg,DK
Neurology Department,Tallinn,EE
West Tallinn Central Hospital,Tallinn,EE
Tartu University Hospital,Tartu,EE
Terveystalo Tampere,Tampere,FI
Mehiläinen Neo Turku,Turku,FI
Service de Neurologie,Besançon,FR
Service de neurochirurgie B,Bordeaux,FR
Service de Neurologie A,Bron,FR
Service de Neurologie B,ClermontFerrand,FR
Neurologie,Montpellier,FR
Service Neurologie,Nantes,FR
Hôpitaux Universitaires de strasbourg - hôpital civil,Strasbourg,FR
Departement de Neurologie,Toulouse,FR
Neurologische Klinik und klinische Neurophysiologie,Augsburg,DE
Behandlung Kempfen für Multip Sklero Kranke gemeinnütz GmbH,Berg,DE
Klinik für Neurologie,Berlin,DE
Praxis Dr. Said Masri,Berlin,DE
Gemeinschaftspraxis Dr.med. Reinhard Ehret/Dr. med Wolfram von Pannwitz,Berlin,DE
Abteilung fur Neurologie,Berlin,DE
Neudecker etc,Bonn,DE
Dres. Dee/Gößling/Hoge,Buchholz,DE
Studienzentrum für Neurologie und Psychiatrie,Böblingen,DE
Zentrum für Klinische Neurowissenschaften,Dresden,DE
Dr. Margarete Capito,Düsseldorf,DE
Knoblich,Erbach/Odenwald,DE
Klinik für Neurologie und Neurophysiologie,Freiburg,DE
Multiple Sklerose Tagesklinik u. Ambulanz Neurol. Poliklinik,Hamburg,DE
Dres. Müller-Habich/Emrich/Vogt,Hamburg,DE
MultipEL Studies - Institut für klinische Studien,Hamburg,DE
Klinik fuer Neurologie und Klinische Neurophysiologie,Hannover,DE
Universitätsklinikum Heidelberg,Heidelberg,DE
Neurozentrum am Klosterforst,Itzehoe,DE
M. Fische,Kassel,DE
PANAKEIA - Arzneimittelforschung Leipzig GmbH,Leipzig,DE
Klinik und Poliklinik fuer Neurologie,Mainz,DE
Klinik fuer Neurologie,Marburg,DE
Max-Planck-Institut für Psychiatrie,München,DE
Neuroimmunologie II,München,DE
Neurologische Klinik und Poliklinik im Neuro-Kopf-Zentrum,München,DE
Klinik und Poliklinik für Neurologie,Münster,DE
MVZ SynConcept GmbH,Stuttgart,DE
Zentrum für Neurologie,Tübingen,DE
Gesellschaft für vorbeugende Gesundheitspflege mbH,Ulm,DE
Dr. med. Joachim Springub / Herr Wolfgang Schwarz,Westerstede,DE
Clinical Research Facility,Cork,IE
St Vincents University Hospital,Dublin,IE
Beaumont Hospital,Dublin,IE
Ospedale SS. Annunziata - Clinica Neurologica - Centro Sclerosi Multipla,Chieti,IT
Clinica Neurologica - Centro Sclerosi Multipla,'Aquila,IT
Scienze Riproduttive ed Odontostomatologiche,Napoli,IT
Dip. Ass. Integrato Med Int-II Clinica Neur,Napoli,IT
Istituto delle Scienze Neurologiche - UO RIABILITAZIONE SCLEROSI MULTIPLA,Bologna,IT
Policlinico Tor Vergata Dip. Neuroscienze-Clinica Neurologica-UOSD Sclerosi Multipla,Roma,IT
UOSD Day Hospital Neurologico e Neurochirurgico,Roma,IT
UOC Neurologia - Centro Sclerosi Multipla,Roma,IT
UOC Neurologia,Roma,IT
Dinogmi,Genova,IT
ASST PAPA GIOVANNI XXIII Neurologia USS Malattie Autoimmuni Centro Sclerosi Multipla,Bergamo,IT
Neurologia 2 - Sclerosi Multipla e Recupero Neurologico,Gallarate,IT
UOSD Malattie Neurodegenerative,Milano,IT
Neurologia Neurofisiologia Neuroriabilitazione-Centro Sclerosi Multipla,Milano,IT
UO Neurologia IV - Neuroimmunologia Malattie Neuromuscolari,Milano,IT
Centro Sclerosi Multipla,Montichiari,IT
IRCCS Istituto Neurologico C. Mondino-Dip. Neurologia Neuroriabilitazione S.S. Sclerosi Multipla,Pavia,IT
SOD Clinica Neurologica-Am.Sclerosi Multipla,Ancona,IT
Centro per lo Studio e la Cura della Sclerosi Multipla,Pozzilli,IT
Dipartimento Testa-Collo - UO Neurologia,Barletta,IT
SC Neurologia,San Giovanni Rotondo,IT
UO Neurologia,Cefalù,IT
UOC Neurologia e Neurofisiopatologia-Amb Sclerosi Multipla,Palermo,IT
PO Villa Sofia - UO Neurologia - U.O.S. Neuroimmunologia,Palermo,IT
Neurologia 1-Dip. Neuroscienze Psicologia Area Farmaco Salute del Bambino(NEUROFARBA),Firenze,IT
Neurologia 2,Firenze,IT
UOSA Neurologia Sperimentale,Siena,IT
06156 PEgia,Italy,
Clinica Neurologica,Padova,IT
Dip. Scienze Neurologiche Biomediche - Neurologia B - Amb. Sclerosi Multipla,Verona,IT
Amphia Ziekenhuis,Breda,NL
St. Antonius Ziekenhuis Nieuwegein,Nieuwegein,NL
Maasstadziekenhuis,Rotterdam,NL
Zuyderland Medisch Centrum - Sittard Geleen,SittardGeleen,NL
Sint Elizabeth Ziekenhuis,Tilburg,NL
Haukeland Universitetssykehus,Bergen,NO
Nevrologisk avdeling,Drammen,NO
Servicio de Neurología,Oviedo,ES
Servicio de Neurologia,'Hospitalet de Llobregat,ES
Sevicio de Neurologia,Cadiz,ES
Neurology,Göteborg,SE
Medicinkliniken / Neurologmottagningen,Jönköping,SE
Centrum för Neurologi,Stockholm,SE
Neurologische Poliklinik,Basel,CH
Istanbul Uni Istanbul Medical Faculty,Istanbul,TR
Noroloji Anabilim Dali,Istanbul,TR
Ege University Medical Faculty,Izmir,TR
Department of Neurology,Kocaeli,TR
New Queen Elizabeth Hospital Birmingham,Birmingham,GB
Western General Hospital,Edinburgh,GB
Royal Devon and Exeter Hospital (Wonford),Exeter,GB
Raigmore Hospital,Inverness,GB
Leeds Teaching Hospitals NHS Trust,Leeds,GB
The Royal London Hospital,London,GB
Kings College Hospital,London,GB
Charing Cross Hospital,London,GB
Royal Victoria Infirmary,Newcastle upon Tyne,GB
Salford Royal NHS Foundation Trust,Salford,GB
Royal Hallamshire Hospita,Sheffield,GB
Morriston Hospital,Swansea,GB
Royal Cornwall Hospital,Truro,GB
Hoffmann-La Roche,,
Ruane Clinical Research Group Inc.,Los Angeles,US
